Class Decade,Date,Daytime/Nightime,Time,Class loc.,Location,Operator,Flight..,Direct/Stopover,Route,AC.Type,Registration,cn.ln,Aboard,Aboard.Passangers,Aboard.Crew,Fatalities,Fatalities.Passangers,Fatalities.Crew,Ground,Causes,Summary,Class time
1970s,11/28/1976,Nighttime,18:56,Russia,"Moscow, Russia",Aeroflot,2415,Direct,Moscow - Leningrad,Tupolev TU-104B,CCCP-42471,21204,73,67,6,73,67,6,0,Mechanical Failure,After taking off an artificial horizon failure caused the crew to become disoriented and exceed bank angle limits and crash.,
1970s,12/12/1976,Nighttime,23:26,USA,"Cape May, New Jersey",Atlantic City Airlines,977,Direct,Atlantic City - Cap May,de Havilland Canada DHC-6 Twin Otter 300,N101AC,262,10,8,2,3,3,1,0,Weather Conditions,The plane crashed short of the runway in rain. Windshear. The aircraft's rate of descent and descent flight path angle increased as a result of windshear encountered during visual approach below minimum descent altitude. The flight crew did not recognize these flightpath deviations because they were relying on visual references which were degraded by non-homogeneous fog and on kinesthetic cues which were adversely affected by the aircraft's forward center of gravity resulting from the improperly loaded aircraft.,
1970s,12/17/1976,Nighttime,21:30,Ukraine,"Kiev, USSR",Aeroflot,H-36,Direct,"	Chernivtsi - Kiev",Antonov AN-24RV,CCCP-46672,47309604,55,50,5,48,44,4,0,ATC,"In heavy fog  the crew continued their descend below decision height, although they had not obtained visual contact with the runway. The fact that visibility had decreased below minima (700 m) was not reported to the crew.",
1970s,12/25/1976,Daytime,3:45,Thailand,"Near Bangkok, Thailand",EgyptAir,864,Direct,Cairo - Bangkok,Boeing B-707-366C,SU-AXA,20763,53,44,9,53,44,9,19,Pilot Error,The aircraft crashed into an industrial area during a landing attempt. Lack of altitude awareness and disorientation leading to an uncontrolled descent. Crew did not make use of navigational aids.,
1970s,01/13/1977,Nighttime,18:14,Kazakhstan,"Near Alma Ata,  Kazakastan, USSR",Aeroflot,3843,Direct,Novosibirsk - Alma Ata,Tupolev TU-104A,CCCP-42369,86601203,90,82,8,90,82,8,0,Mechanical Failure,"The aircraft was preparing to land when it was informed by the tower that its left engine was on fire. Shortly thereafter, the plane exploded and crashed 2 miles short of the runway.",
1970s,02/15/1977,Nighttime,23:17,Russia,"Mineralnye Vody, Russia",Aeroflot,5003,Direct,Tashkent - Mineralnyye Vody,Ilyushin IL-18V,CCCP-75520,183006703,98,92,6,77,76,1,0,Pilot Error,"Stalled and crashed after the crew executed a missed approach. Failure of the crew to adopt a proper go-around configuration after a missed approach. The loss of control during initial climb was the result of a premature raise of the flaps, which caused the aircraft to reach a critical angle of attack and to stall.",
1970s,03/27/1977,Nighttime,17:07,Canary Island,"Tenerife, Canary Islands",Pan American World Airways / KLM,1736/4805,Direct,Tenerife - Las Palmas / Tenerife - Las Palmas,Boeing B-747-121 / Boeing B-747-206B,N736PA/PH-BUF,19643/11 / 20400/157,644,614,30,583,560,23,0,Human Error,"Both aircraft were diverted to Tenerife because of a bombing at Las Palmas Airport. After an extended delay,  both planes were instructed to back track up the runway. The KLM plane reached its takeoff point while the Pan Am plane was still on the runway. The Pan Am plane continued up the runway missing the taxiway turnout. There was heavy fog on the runway. The KLM plane began its takeoff roll without permission with the Pan Am plane still on the runway. The controller and Pan Am pilot each radioed a warning to the KLM plane, but were not heard because the simultaneous transmissions interfered with each other.The KLM plane hit the Pan Am plane just as it was taking off. Both planes burst into flames.  KLM 234 + 14 crew,  Pan Am 326 + 9 crew killed. All aboard the KLM plane were killed. The KLM captain was their safety officer and for some months had  been training other pilots using a simulator, where getting takeoff permission was not simulated. The Pan Am aircraft was named Clipper Victor. The KLM aircraft was named Rhine River. Despite all the circumstances the KLM plane was blamed for taking off without permission by the NTSB.",
1970s,03/30/1977,Daytime,8:39,Russia,"Near Zhadanof, Russia",Aeroflot,H-925,Direct,"	Dnepropetrovsk - 	Zhdanov",Yakovlev YAK-40,CCCP-87738,9010310,27,23,4,8,5,3,0,Pilot Error,"The crew continued their visual approach after entering an area of fog with visibility less than 500 m and losing sight of the ground. After deciding to go around, the right wing hit a 9-meter high pole. The wing caught fire and the number 2 engine failed. The fuselage hit the ground sideways in a field about 1,500 meters from the runway. The plane broke up and caught fire. The pilot-in-command decided to continue the approach below the glide under VFR mode in IMC conditions.",
1970s,04/04/1977,Daytime,16:19,USA,"New Hope, Georgia",Southern Airways,242,Direct,Huntsville - Atlanta,McDonnell Douglas DC-9-31,N1335U,47393/608,85,81,4,62,60,2,8,Human Error,The aircraft sustained a broken windshield and loss of power to both engines after penetrating a thunderstorm and encountering hail. The plane crash landed on a highway and exploded in flames. Total and unique loss of thrust from both engines while the aircraft was penetrating an area of severe thunderstorms with heavy precipitation and hail. The hail clogged bleeder valves in the engines causing multipe engine surges until the compressors tore apart. Contributing factor was the failure of the company's dispatcher to provide the flight crew with up-to-date severe weather information.,
1970s,05/27/1977,Daytime,8:45,Cuba,"Havana, Cuba",Aeroflot,SU-331,Direct,Lisbon - Havana,Ilyushin IL-62M,CCCP-86614,51903,69,59,10,67,57,10,0,Pilot Error,Struck power lines and crashed 1 m from the runway while attempting to land.,
1970s,09/02/1977,Daytime,8:38,Hong Kong,Off Hong Kong,Transmeridian Air Cargo,3751,Direct,Hong Kong-Bangkok,Canadair CL-44D4-2,G-ATZH,21,4,0,4,4,0,4,0,Mechanical Failure,"The No. 4 engine failed shortly after taking off. A fire developed and the plane crashed into the ocean. A loss of control following in-flight separation of the right-hand outboard wing section and the No.4 engine. These failures followed a No.4 engine failure, an internal engine fire and a fire in the aircraft fuel system eventually resulting in a massive external fire.",
1970s,09/06/1977,Daytime,14:52,Alaska,"Mt. Iliamna, Alaska",Alaska Aeronautical Industries,302,Direct,Iliamna - Anchorage,de Havilland Canada DHC-6 Twin Otter 200,N563MA,196,13,11,2,13,11,2,0,Pilot Error,"Crashed in level flight  into Mt. Iliamna glacier at 7,000 feet. Failure of the flight crew to use proper navigational procedures for the route being flown especially their failure to use the available backup means of navigation to verify the position and progress of the flight. Recovery of bodies or wreckage not possible.",
1970s,11/19/1977,Nighttime,21:48,Portugal,"Near Funchal, Island of Madeira, Portugal",TAP (Air Portugal),425,Direct,Brussels - Funchal,Boeing B-727-282,CS-TBR,20972/1096,164,156,8,131,125,6,0,Weather Conditions,"The aircraft landed 1,000 ft. past the aiming point of the runway in heavy rain, overran the runway and plunged off a cliff during a third landing attempt. Hydroplaning, due to poor drainage on the runway. Excessive speed during landing. In the last attempt, the plane was 44 ft high in the begining of the runway flying at 150 kt. Then a sudden tail wind increases the speed to 155 kt. Cross winds from several directions made the plane unstable. Tail winds alternated with frontal winds making the speed unstable. The plane only hit the runway after 800m. The same cross winds make it impossible to align to the center of the runway. Then aquaplaning did the rest.",
1970s,12/04/1977,Nighttime,20:36,Malaysia,"Straits of Johore, near Kampung Ladang, Malaysia",Malaysia Airlines,653,Direct,Penang - Kuala Lumpur,Boeing B-737-2H6,9M-MBD,20585/306,100,93,7,100,93,7,0,Sabotage,"During a hijacking and while descending from 21,000 to 7,000 feet, both pilots were shot and the aircraft crashed into a swamp.",
1970s,12/09/1977,Daytime,19:25,Russia,"Tarko-Saley, USSR",Aeroflot,134,Stopover,Tarko-Sale - Surgut,Antonov AN-24,CCCP-47695,27307602,23,18,5,17,13,4,0,Unknow,The plane took off at night and entered a steep attitude after the flaps were raised and crashed.,
1970s,12/13/1977,Daytime,19:22,USA,"Evansville, Indiana","National Jet Services Inc.,  (Air Indiana)",216,Direct,Evansville - Nashville,Douglas DC-3,N51071,4837,29,26,3,29,26,3,0,Pilot Error,"The plane crashed during takeoff in rain and fog. Killed, were the entire Evansville basketball team. The aileron on one wing and rudder remained locked upon takeoff, which made it extremely difficult to bank. An attempted takeoff with the rudder and right aileron control locks installed, in combination with a rearward center of gravity. Improperly loaded luggage which resulted in rearward center of gravity which resulted in the aircraft's rotating to a nose-high attitude immediately after takeoff and entering the region of reversed command from which the pilot was unable to recover.",
1970s,12/18/1977,Nighttime,1:38,USA,"Near Salt Lake City, Utah",United Air Lines,2860,Direct,"San Francisco, CA - Salt Lake City, Utah",Douglas DC-8-54F,N8047U,45880/275,3,0,3,3,0,3,0,Human Error,"While in a holding pattern because of electrical problems the cargo plane cashed into 7,600 ft. mountain. The approach controller's issuance and the flight crew's acceptance of an incomplete and ambiguous holding clearance in combination with the flight crew's failure to adhere to prescribed impairment-of-communications procedures and prescribed holding procedures. The controller's and flight crew's actions are attributed to probable habits of imprecise communication and of imprecise adherence to procedures developed through years of exposure to operations in a radar environment. Contributing to the accident was the failure of the aircraft's No.1 electrical system for unknown reasons.",
1970s,12/18/1977,Nighttime,20:14,Portugal,"Off Madeira, Portugal",SATA,730,Stopover,Zurich-Genève-Funchal,Aerospatiale Caravelle 10R,HB-ICK,200,57,52,5,36,35,1,0,Pilot Error,Ditched into the ocean while on a second approach. Crew error. Sensory illusion.,
1970s,01/01/1978,Nighttime,20:41,India,"Off Bandra, Maharashtra, India",Air India,855,Direct,Bombay - Dubai,Boeing B-747-237B,VT-EBD,19959/124,213,190,23,213,190,23,0,Pilot Error,"Following a right turn, after taking off, the plane rolled to the left beyond 90 degrees, went into a steep dive, crashed and exploded in shallow water. Irrational control wheel inputs on the part of the captain after his attitude director indicator malfunctioned leading to complete loss of situational awareness.",
1970s,02/10/1978,Nighttime,16:50,USA,"Richland, Washington",Columbia Pacific Airlines,23,Direct,"Richland, WA - Seattle, WA",Beechcraft 99,N199EA,U037,17,15,2,17,15,2,0,Pilot Error,The aircraft crashed shortly after taking off from Richland after climbing to 400 feet and stalling. Crew error.  The failure and inability of the flightcrew to prevent rapid pitchup and stall by exerting sufficient push force on the control wheel. The pitchup was caused by the combination of a mistrimmed horizontal stabilizer and a center of gravity near the aircraft's aft limit. The mistrimmed condition resulted from discrepancies in the aircraft's trim system and the flightcrew's preoccupation with making a timely departure. The out-of-trim warning system was inoperative.,
1970s,02/11/1978,Daytime,12:55,Canada,"Cranbrook, British Columbia, Canada",Pacific Western Airlines,314,Direct,Calgary - Cranbrook,Boeing B-737-275,C-FPWC,20142/253,49,44,5,42,38,4,0,Human Error,"The aircraft touched down just as the crew noticed a snow plow on the runway. A go-around was initiated but the thrust reverses did not stow away properly because hydraulic power was automatically cut off at lift-off.  The aircraft missed the plow, overran the runway, crashed and burned. Estimated time of arrival given by Calgary ATC in error. Crew did not report over its final approach beacon.",
1970s,03/01/1978,Daytime,9:25,USA,"LAX, Los Angeles, California",Continental Airlines,603,Direct,Los Angeles - Honolulu,McDonnell Douglas DC-10-10,N68045,46904,200,186,14,2,2,0,0,Mechanical Failure,"While approaching V1 speed on takeoff, a loud bang was heard followed by shaking of the aircraft. The crew decided to abort the takeoff. With the end of the runway approaching, the captain steered the aircraft off the runway to the right. The landing gear failed and resulted in a fire. The plane slid for approximately 650 feet and came to rest 40 feet right of the runway centerline. Several passengers not heeding the warnings of the stewardess exited onto the wing and fell into the fire. Failure of two tires on the left main landing gear resulting in failure of a third tire during a critical point in the takeoff. This was to be pilot Gene Hershe's last flight before retiring.",
1970s,04/20/1978,Nighttime,22:17,Russia,"Near Murmansk, Russia",Korean Airlines,902,Direct,Paris - Seoul,Boeing B-707-321B,HL-7429,19363/623,109,97,12,2,2,0,0,Sabotage,"The aircraft, which deviated off course, suffered rapid decompression after being fired upon by a Russian fighter. The aircraft made an emergency landing on a frozen lake.",
1970s,05/08/1978,Nighttime,21:20,USA,"Pensacola, Florida",National Airlines,193,Stopover,"Miami, FL - Pensacola, FL - Mobile, AL",Boeing B-727-235,N4744,19464,58,52,6,3,3,0,0,Pilot Error,"The aircraft crashed while attempting a non-precision instrument approach to Pensacola and landed in 12 feet of water, 3 nm short of the runway. Failure of the crew to monitor altitude and descent rate and the failure of the 1st officer to provide the captain with the required altitude and approach performance call-outs. Also the flight engineer disabled the GPWS alarm so the crew could hear one another better. In addition, the night flight had been diverted from its primary airport due to poor weather and was required to execute a compressed approach (descending and approaching more quickly and steeply than normal), and the crucial altimeter readout was an old drum-roll-counter type (due to be replaced), which could easily be misread, especially in  heavy workload situations. Three fatalities occurred when the frightened passengers grabbed their seat cushions and exited the plane from the rear. They drowned in part because their seat cushions were not flotation cushions. The airplane was not required to have floatation cushions because it was not flying over water.",
1970s,05/19/1978,Daytime,13:32,USA,"Pochinok, Russia",Aeroflot,6709,Direct,Baku - Leningrad,Tupolev TU-154B,CCCP-85169,76A-169,134,126,8,4,4,0,0,Pilot Error,The flight engineer accidentally shut off the automatic transferring of fuel from the sump tank. Eventually all three engines stopped and the plane crashed. Fuel starvation.,
1970s,06/26/1978,Daytime,8:08,Russia,"Toronto, Canada",Air Canada,189,Direct,Toronto - Winnipeg,McDonnell Douglas DC-9-32,C-FTLV,47179/289,107,102,5,2,2,0,0,Mechanical Failure,"The aircraft overran the runway and crashed into a revine after an aborted takeoff due to a blown tire. The No. 3 tire failed on takeoff and debris damaged the right gear 'down and locked' switch, causing a gear unsafe indication in the cockpit. Debris was also ingested by the No. 2 engine causing a loss of reverse thrust during the rejected takeoff.",
1970s,09/03/1978,Daytime,17:30,Zimbabwe,"Near Kariba, Rhodesia (Zimbabwe)",Air Rhodesia,825,Direct,Kariba - Salisbury,Vickers Viscount 782D,VP-WAS,297,56,52,4,38,34,4,0,Sabotage,"The aircraft took off from  from Kariba Airport at 17.10.  Shortly after departing Kariba, the starboard wing was hit by a SAM-7 missile.  The crew tried to make an emergency landing in a large clearing in the bush. The aircraft crash landed, striking an irrigation ditch, cart-wheeled, broke up and caught fire.  Soldiers from the Joshua Nkomo's Zimbabwe Peoples Revolution Army, who were responsible for shooting down the airliner, later killed 10 of the 18 survivors. The remaining survivors were rescued the next day.",
1970s,09/25/1978,Daytime,9:02,USA,"San Diego, California",Pacific Southwest Airlines / Private,182,Direct,Los Angeles - San Diego,Boeing B-727-214 / Cessna 172,N533PS/N7711G,19688/589 / ?,137,128,9,137,128,9,7,Pilot Error,"Midair collision. The PSA was descending and about to land at Lindbergh Field. The Cessna was climbing while engaged in practice approaches. The 727 overtook and struck the Cessna from the rear. The primary cause was the PSA crew lost sight of the Cessna and did not make that fact known to the ATC.  The ATC failed to realize from the PSA transmissions that they lost sight of the Cessna. One hundred thirty-five killed on the PSA, two on the Cessna and seven on the ground. Crew fatigue may have played a part in the accident as there are unofficial reports that the crew attended an all night party and had only 2 hours sleep from the night before.",
1970s,10/23/1978,Nighttime,19:41,Russia,"Gulf of Sivash, USSR",Aeroflot,6515,Direct,"	Krasnodar - t:	Simferopol",Antonov AN-24B,CCCP-46327,97305504,26,21,5,26,21,5,0,Weather Conditions,Crashed following engine flame out in icing conditions.,
1970s,11/15/1978,Nighttime,23:30,Sri Lanka,"Near Katunayake, Sri Lanka",Loftleidir Icelandic Airlines,1,Direct,Jeddah - Colombo,McDonnell Douglas DC-8-Super 63CF,TF-FLA,46020/415,262,249,13,183,175,8,0,Human Error,The aircraft crashed short of the runway into a coconut plantation while attempting to land in heavy rain.  Windshear. Excessive sink rate. Crew's non-conformance with approach procedures. Incorrect information supplied by the radar controller. Lack of an approach lighting system at Bandaranaike.,
1970s,12/04/1978,Nighttime,19:45,USA,"Near Steamboat Springs, Coloado",Rocky Mountain Airways,217,Direct,Steamboat Springs - Denver,de Havilland Canada DHC-6 Twin Otter 300,N25RM,387,22,20,2,2,1,1,0,Pilot Error,"Forced to return to Steamboat Springs due to severe icing, the plane crashed into a 10,530 ft. mountain.  Severe icing and strong downdraughts associated with a mountain wave which combined to exceed the aircraft's capability to maintain flight. Contributing to the accident was the Captain's decision to fly into probable icing conditions that exceeded the conditions authorized by company directives.",
1970s,12/23/1978,Nighttime,0:39,Italy,"Off Cinisi, Sicily, Italy",Alitalia,4128,Direct,Rome - Palermo,McDonnell Douglas DC-9-32,I-DIKQ,47227/334,129,124,5,108,103,5,0,Pilot Error,The aircraft crashed into ocean during a landing approach. Poor monitoring of altitudes and too early a transition from ILS to visual flight procedures.,
1970s,12/28/1978,Nighttime,18:15,USA,"Portland, Oregon",United Air Lines,173,Direct,Denver - Portland,McDonnell Douglas DC-8-61,N8082U,45972/357,189,181,8,10,8,2,0,Pilot Error,"While on a flight from Denver to Portland, the aircraft ran out of fuel while the crew was distracted with a landing gear problem. Failure of the captain to monitor properly the aircraft's fuel state and to properly respond to the low fuel state as indicated by other crew members. Contributing to the accident was the failure of the other two flight crew members either to fully comprehend the criticality of the fuel state or to successfully communicate their concern to the captain.",
1970s,01/15/1979,Daytime,13:05,Belarus,"Minsk, Russia",Aeroflot,7502,Direct,Tallinn - Minsk,Antonov AN-24N,CCCP46807,67302207,13,9,5,13,8,5,0,Pilot Error,The pilot switched off the de-icing system too early during the approach through clouds in icing conditions  which resulted in the aircraft losing longitudinal stability and pitching over and crashed.,
1970s,02/12/1979,Daytime,13:00,USA,"Clarksburg, West Virginia",Allegheny Airlines,561,Direct,Clarksburg - Washington DC,Nord 262,N29824,48,25,22,3,2,1,1,0,Pilot Error,The plane crashed  inverted shortly after lifting off the ground. The captain's decision to take off with snow on the aircraft's wing and empennage surfaces which resulted in a loss of lateral control and a loss of lift as the aircraft ascended out of ground effect.,
1970s,03/10/1979,Nighttime,17:52,USA,"Off Marina del Rey, California",Swift Aire Lines Inc.,235,Direct,New York - Santa Monica,Aerospatiale Nord 262A-33,N418SA,41,7,4,3,3,1,2,0,Pilot Error,"The plane ditched into Santa Monica Bay near Marina del Rey, shortly after taking off from Santa Monica Airport. The flight crew's mismanagement of an emergency procedure following an autofeather of the right-hand propeller which resulted in their shutting down the remaining engine. A leak or break in the propeller pressure line probably caused the right engine to autofeather. The left engine was shut down when the flight crew failed to identify the engine on which the autofeather occurred and moved the left power lever to the stop position. Contributing to the accident was the unavailability of vital restart information to the crew.",
1970s,03/14/1979,Nighttime,23:40,Qatar,"Near Doha Airport, Qatar",Alia Royal Jordanian Airlines,600,Direct,Amman - Doha,Boeing B-727-2D3,JY-ADU,20886/1061,64,49,15,45,41,4,0,Pilot Error,"Despite two missed approaches in thunderstorms, the pilot declined the controllers' suggestion to divert to Dubai. The aircraft landed heavily on the runway (due to windshear), suffered landing gear damage, veered off the runway and crashed into a fire station building not far from the terminal building. At that time, all on board were still alive. Fire from spilled fuel started shortly thereafter and there was panic to escape the cabin.  The aircraft was named ""The City of Petra.""",
1970s,03/17/1979,Nighttime,19:44,Russia,"Near Moscow, Russia",Aeroflot,1691,Direct,Moscow - Odessa,Tupolev TU-104B,CCCP-42444,921001,119,113,6,58,57,1,0,Pilot Error,The aircarft crashed in freezing rain and fog shortly after taking off. The aircraft was overloaded. The pilot had very little experience flying the aircraft type.,
1970s,05/25/1979,Daytime,15:04,USA,"Chicago O'Hare, Illinois",American Airlines,191,Direct,"Chicago, IL- Los Angeles, CA",McDonnell Douglas DC-10-10,N110AA,46510/22,271,258,13,271,258,13,2,Human Error,"During takeoff just, as the plane lifted from the runway, the left engine and pylon separated from the aircraft damaging the wing and hydraulic system which caused the aircraft to roll and crash. Highest single plane death toll in U.S. aviation history. Asymmetrical stall and the ensuing roll of the aircraft because of the uncommanded retraction of the left wing outboard leading edge slats and the loss of stall warning and slat disagreement indication systems caused by separation of the engine and pylon. Improper maintenance procedures used by American Airlines when dismounting the engines for maintenance, by removing the pylon and engine together, putting strain on the engine mounts leading to  stress cracks.",
1970s,05/30/1979,Nighttime,20:55,USA,"Rockland, Maine",Downeast Airlines,46,Direct,Boston - Rockland,de Havilland DHC-6-200,N68DE,229,18,16,2,17,15,2,0,Human Error,"The aircraft crashed into a wooded area during a non-precision approach to Rockland, in fog . Failure to arrest aircraft's descent rate, without the runway in sight. Inordinate management pressures, the first officer's marginal instrument proficiency, the captain's inadequate supervision of the flight, inadequate crew training and the captain's chronic fatigue were all factors in the accident.",
1970s,06/17/1979,Nighttime,22:48,USA,"Hyannis, Massachusetts",Air New England,248,Direct,"New York, NY - Hyannis, MA",de Havilland Canada DHC-6 Twin Otter 300,N383EX,245,10,8,2,1,0,1,0,Pilot Error,"The plane crashed in a heavily wooded area about 1.5 miles northeast of Barnstable Municipal Airport while on an ILS approach. The failure of the flightcrew to recognize and react in a timely manner to the gross deviation from acceptable approach parameters, resulting in a continuation of the descent well below the decision height during a precision approach without visual contact with the runway environment. Pilot fatigue.",
1970s,07/24/1979,Daytime,9:22,Virgin Island,"St. Croix, Virgin Islands",Prinair,610,Direct,St. Croix - St. Kitts,de Havilland DH-114 Heron,N575PR,14125,21,19,2,8,7,1,0,Human Error,The aircraft attained a nose-high attitude and pitched up shortly after taking off. The pilot's loss of control of the aircraft after takeoff because of the aircraft's grossly overweight and out-of-balance condition which resulted from misloading by the company's load control personnel. The misloading was due to the failure of the company to supervise and enforce its loading procedures.,
1970s,08/11/1979,Daytime,13:35,Russia,"Near Volgograd, Russia",Aeroflot / Aeroflot,7880/7628,Stopover,Tashkent - Donetsk - Minsk /Chelyabinsk to Kishinev,Tupolev TU-134A / Tupolev Tu-134A,65735/65816,2351516 / 05040,178,155,13,178,155,13,0,Pilot Error,"Midair collision at 27,200 ft. Separation error by air traffic controller. Eight-four killed on the 65735 and 94 on the 65816. Fourteen players and 3 staff members of the Russian soccer team, Pakhtakor Tashkent were killed.",
1970s,09/03/1979,Nighttime,1:01,Russia,"Andema, Russia",Aeroflot,A-513,Direct,"Arkhangelsk - 	Amderma",Antonov AN-24,CCCP-46269,77303602,44,37,7,40,35,5,0,Unknow,The plane undershot the runway and crashed.,
1970s,09/14/1979,Nighttime,20:47,USA,"Near Klamath Falls, Oregon",Butler Aviation Inc.,-,Stopover,Redmond - Klamath Falls - Medford,Douglas DC-7,N455SW,44287,12,10,2,12,10,2,0,Pilot Error,The plane was transporting company employees when it hit Surveyor Mountain 7 minutes after taking off from Klamath Falls. The plane hit trees along the crest of a mountain ridge along the flight path. Crew error. The crew's decision to undertake a direct point-to-point high cruise speed flight at low altitude.,
1970s,10/07/1979,Nighttime,22:15,Greece,"Athens, Greece",Swissair,SR316,Stopover,Zurich - Geneva - Athens - Bombay - Beijing,McDonnell Douglas DC-8-62,HB-IDE,45919/312,156,145,11,14,14,0,0,Pilot Error,The aircraft overran the runway and crashed with the left wing and tail separating before the aircraft came to a rest. The crew touched down too far down the runway at a speed higher than normal after a non-stabilized final approach. The crew did not fully apply the braking systems after a touchdown under known adverse conditions.,
1970s,10/31/1979,Daytime,5:42,Mexico,"Mexico City, Mexico",Western Airlines,2605,Direct,Los Angeles  - Mexico City,McDonnell Douglas DC-10-10,N903WA,46929/107,88,77,11,72,63,9,1,Pilot Error,"The aircraft struck a vehicle after landing on a closed runway in fog. The tower warned the flight three times about the closed runway. Non-compliance with the meteorological minima for the approach procedure, as cleared.  Failure to comply with the aircraft's operating procedures during the approach phase, and landing on a runway closed to traffic.",
1970s,11/26/1979,Nighttime,2:03,Saudi Arabia,"Near At Ta'if, Jeddah, Saudi Arabia",Pakistan International Airlines,740,Direct,Jeddah - Karachi,Boeing B-707-340C,AP-AWZ,20275/844,156,145,11,156,145,11,0,Mechanical Failure,After being airborne about a half an hour a cabin attendant reported a fire in the aft cabin area. Seventeen minutes later the aircraft crashed into a rocky desert while attempting an emergency landing. The blaze may have been started by a passenger possibly from a leaking kerosene stove carried aboard by a Haj pilgrim passenger.,
1970s,11/28/1979,Daytime,12:49,Antartica,"Near Mt. Erebus, Ross Ice Shelf, Antarctica",Air New Zealand,901,Direct,Auckland - Christchurch,McDonnell Douglas DC-10-30,ZK-NZP,46910/182,257,237,20,257,237,20,0,Human Error,"The aircraft crashed into the slopes of Mt. Erebus while on sightseeing flight to Antarctica. An incorrect computer-stored flight plan resulted in a navigational error directing the flight towards Mt. Erebus. Because of overcast, the crew descended below authorized altitude. Contributing to the accident was the crew's inexperience with flying the Antarctic route. Information about the navigational errors was suppressed by officials.",
1980s,03/14/1980,Daytime,11:00,Poland,"Near Warsaw, Poland",LOT Polish Airlines,7,Direct,New York City - Warsaw,Ilyushin IL-62,SP-LAA,11004,87,77,10,87,77,10,0,Mechanical Failure,"While attempting to land at Warsaw, the crew initiated an overshoot procedure after there were indications that the landing gear was not down. When thrust was applied, the No. 2 engine disintegrated, damaging two other engines and severing the rudder and elevator control lines. The plane crashed one-half mile from the runway threshold. Metal fatigue in the No. 2 engine turbine disc. The dead included 22 members of the U.S. boxing team and Polish singer Anna Jantar. The aircraft was named Mikolaj Kopernik.",
1980s,04/12/1980,Nighttime,20:40,Brazil,"Florianopolis, Brazil",Transbrasil,303,Direct,Sao Paulo - Florianopolis,Boeing B-727-27C,PT-TYS,19111/297,58,50,8,55,47,8,0,Pilot Error,The plane crashed into a hill while landing during a thunderstorm. The pilot misjudged his speed and distance and failed to initiate a go-around. Improper flight supervision and control of the engines.,
1980s,04/14/1980,Nighttime,20:05,Russia,"	Krasnoyarsk, Russia",Aeroflot,151,Direct,"	Krasnoyarsk - Yeniseisk",Antonov An-24B,CCCP-47732,69900905,53,49,4,2,2,0,0,Mechanical Failure,The plane crashed when attempting an emergency landing after the starboard main gear broke on take-off.,
1980s,04/25/1980,Daytime,13:21,Canary Island,"Tenerife, Canary Islands",Dan Air Services,1008,Direct,Manchester - Tenerife,Boeing B-727-64,G-BDAN,19279/288,146,138,8,146,138,8,0,Pilot Error,"The plane crashed into a mountain 5,500 ft. high at 300 mph during an approach to Tenerife. The pilot, while in a holding pattern, took the aircraft in an area of high ground not maintaining the correct altitude. Lack of communication between the pilot and co-pilot.",
1980s,04/27/1980,Daytime,6:55,Thailand,"Don Muang, Thailand",Thai Airways,231,Direct,Khon Kaen - Bangkok,Hawker Siddeley HS-748-2,HS-THB,1568,53,49,4,44,40,4,0,Pilot Error,"The aircraft entered a thunderstorm, was caught in a downdraft and struck the ground 8 nm northeast of Bangkok International Airport. The pilot directed the aircraft into a thunderstorm in an early dissipating stage.  The aircraft was severely affected by a downdraft and lost altitude rapidly. At that time, the altitude of the aircraft was 1,500 ft. and the pilot could not maintain altitude. Procedural error by the pilot. Was not tuned to weather warning, did not use his weather radar and flew into an area of severe weather.",
1980s,06/12/1980,Daytime,15:46,USA,"Valley, Nebraska",Air Wisconsin,965,Direct,"Appleton, WI - Minneapolis, MN, - Lincoln, NE",Swearingen 226TC Metro II,N6505,TC-228,15,13,2,13,11,2,0,Pilot Error,After penetrating a thunderstorm massive amounts of water cause both engine to lose power. Although the engines were restarted the crew could not recover and crashed into a field. Engine failure due to massive ingestion of water into both engines. Crew error. Unwise decision to enter an area of thunderstorms. Critical weather not disseminated.,
1980s,06/27/1980,Nighttime,20:59,Italy,"Tyrrhenian Sea,  off Ustica, Italy",Itavia,870,Direct,Bologna - Palermo,McDonnell Douglas DC-9-15,I-TIGI,45724/22,81,77,4,81,77,4,0,Sabotage,"Two Libyan MiG aircraft concealed themselves from radar detection by flying closely to the DC-9. When this was discovered, an attempt was made by either French or US aircraft to intercept the MiGs. It was believed that a shot fired at the MiGs accidentally struck Itavia Flight 870. The aircraft exploded and crashed off the island of Ustica. A report released in 1994 stated new evidence pointed to an explosive device aboard the aircraft causing the crash.",
1980s,07/08/1980,Nighttime,0:39,Kazakhstan,"Near Alma-Ata, Kazakhstan, USSR",Aeroflot,4225,Direct,Alma Ata - Simferopol,Tupolev TU-154B,CCCP-85355,355,166,156,10,166,156,10,0,Weather Conditions,"The aircraft crashed and burned in a field, two minutes after takeoff reaching a height of only 500 ft. Windshear.",
